0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
												for appointment &lecture	for appointment				
eventId	userId	type	year	month	date	start huor	start minute	end hour	end minute	description	weekly repeat	professor id	aproved	priority			
12314537340219471453737621947	123	0	2016	1	25	7	0	8	0	PHY	0			0
12314539068219471453910421947	123	0	2016	1	27	7	0	8	0	PHY	0			0
12314543388219471454342421947	123	0	2016	2	1	7	0	8	0	PHY	0			0
12314545116219471454515221947	123	0	2016	2	3	7	0	8	0	PHY	0			0
12314549436219471454947221947	123	0	2016	2	8	7	0	8	0	PHY	0			0
12314551164219471455120021947	123	0	2016	2	10	7	0	8	0	PHY	0			0
12314555484219471455552021947	123	0	2016	2	15	7	0	8	0	PHY	0			0
12314557212219471455724821947	123	0	2016	2	17	7	0	8	0	PHY	0			0
12314561532219471456156821947	123	0	2016	2	22	7	0	8	0	PHY	0			0
12314563260219471456329621947	123	0	2016	2	24	7	0	8	0	PHY	0			0
12314567580219471456761621947	123	0	2016	2	29	7	0	8	0	PHY	0			0
12314569308219471456934421947	123	0	2016	3	2	7	0	8	0	PHY	0			0
12314573628219471457366421947	123	0	2016	3	7	7	0	8	0	PHY	0			0
12314575356219471457539221947	123	0	2016	3	9	7	0	8	0	PHY	0			0
12314579640219471457967621947	123	0	2016	3	14	7	0	8	0	PHY	0			0
12314581368219471458140421947	123	0	2016	3	16	7	0	8	0	PHY	0			0
12314585688219471458572421947	123	0	2016	3	21	7	0	8	0	PHY	0			0
12314587416219471458745221947	123	0	2016	3	23	7	0	8	0	PHY	0			0
12314591736219471459177221947	123	0	2016	3	28	7	0	8	0	PHY	0			0
12314593464219471459350021947	123	0	2016	3	30	7	0	8	0	PHY	0			0
12314597784219471459782021947	123	0	2016	4	4	7	0	8	0	PHY	0			0
12314599512219471459954821947	123	0	2016	4	6	7	0	8	0	PHY	0			0
12314600557419471460059221947	123	1	2016	4	7	12	2	13	0	comp110	1			3
12314600772219471460086221947	123	0	2016	4	7	18	0	20	30	birthday party	0			1
12314601528219471460162721947	123	0	2016	4	8	15	0	17	45	Do COMP 380 HW	0			1
12314603832219471460386821947	123	0	2016	4	11	7	0	8	0	PHY	0			0
12314605560219471460559621947	123	0	2016	4	13	7	0	8	0	PHY	0			0
12314609880219471460991621947	123	0	2016	4	18	7	0	8	0	PHY	0			0
12314611608219471461164421947	123	0	2016	4	20	7	0	8	0	PHY	0			0
12314615928219471461596421947	123	0	2016	4	25	7	0	8	0	PHY	0			0
12314617656219471461769221947	123	0	2016	4	27	7	0	8	0	PHY	0			0
12314621976219471462201221947	123	0	2016	5	2	7	0	8	0	PHY	0			0
12314623704219471462374021947	123	0	2016	5	4	7	0	8	0	PHY	0			0
12314629572515461462960851546	123	0	2016	4	11	2	0	3	0	Presentation for COMP 380	0			0
12314629752107411462982410741	123	0	2016	4	11	7	0	9	0	COMP 380 Presetation	0			0
12314564124207241456419620724	123	0	2016	1	25	7	0	9	0	COMP380	0			0
12314565852207241456592420724	123	0	2016	1	27	7	0	9	0	COMP380	0			0
12314568444207241456851620724	123	0	2016	2	1	7	0	9	0	COMP380	0			0
12314570172207401457024420740	123	0	2016	2	3	7	0	9	0	COMP380	0			0
12314574492207401457456420740	123	0	2016	2	8	7	0	9	0	COMP380	0			0
12314576220207401457629220740	123	0	2016	2	10	7	0	9	0	COMP380	0			0
12314580504207401458057620740	123	0	2016	2	15	7	0	9	0	COMP380	0			0
12314582232207561458230420756	123	0	2016	2	17	7	0	9	0	COMP380	0			0
12314586552207561458662420756	123	0	2016	2	22	7	0	9	0	COMP380	0			0
12314588280207561458835220756	123	0	2016	2	24	7	0	9	0	COMP380	0			0
12314592600207561459267220756	123	0	2016	2	29	7	0	9	0	COMP380	0			0
12314596056207711459612820771	123	0	2016	3	2	7	0	9	0	COMP380	0			0
12314600376207711460044820771	123	0	2016	3	7	7	0	9	0	COMP380	0			0
12314602104207711460217620771	123	0	2016	3	9	7	0	9	0	COMP380	0			0
12314606424207711460649620771	123	0	2016	3	14	7	0	9	0	COMP380	0			0
12314608152207711460822420771	123	0	2016	3	16	7	0	9	0	COMP380	0			0
12314612472207871461254420787	123	0	2016	3	21	7	0	9	0	COMP380	0			0
12314614200207871461427220787	123	0	2016	3	23	7	0	9	0	COMP380	0			0
12314618520207871461859220787	123	0	2016	3	28	7	0	9	0	COMP380	0			0
12314620248207871462032020787	123	0	2016	3	30	7	0	9	0	COMP380	0			0
12314623704207871462377620787	123	0	2016	4	4	7	0	9	0	COMP380	0			0
12314625432208021462550420802	123	0	2016	4	6	7	0	9	0	COMP380	0			0
12314629752208021462982420802	123	0	2016	4	11	7	0	9	0	COMP380	0			0
12314631480208021463155220802	123	0	2016	4	13	7	0	9	0	COMP380	0			0
12314635800208021463587220802	123	0	2016	4	18	7	0	9	0	COMP380	0			0
12314637528208021463760020802	123	0	2016	4	20	7	0	9	0	COMP380	0			0
12314641848208181464192020818	123	0	2016	4	25	7	0	9	0	COMP380	0			0
12314643576208181464364820818	123	0	2016	4	27	7	0	9	0	COMP380	0			0
12314648760208181464883220818	123	0	2016	5	2	7	0	9	0	COMP380	0			0
12314650488208181465056020818	123	0	2016	5	4	7	0	9	0	COMP380	0			0
